l1 cache size,l2 cache size,aat
4096,32768,73885414.2737
4096,65536,72915714.2384
4096,131072,77664336.6532
4096,262144,84466484.5289
4096,524288,98574320.7640
4096,1048576,121910884.2876
8192,32768,70402763.1156
8192,65536,68614173.2536
8192,131072,72008605.6858
8192,262144,77288672.1201
8192,524288,88194736.9828
8192,1048576,106225903.5809
16384,32768,82350453.5020
16384,65536,79807699.3968
16384,131072,82104774.2053
16384,262144,86273933.4571
16384,524288,94851119.0550
16384,1048576,109001893.0247
32768,65536,106821784.8991
32768,131072,108746003.6077
32768,262144,112698872.4929
32768,524288,120825028.2411
32768,1048576,134169789.6993
65536,131072,144658576.8511
65536,262144,148298911.3129
65536,524288,155792285.5504
65536,1048576,168005511.4346